index,detect_ms,n_detections,scene_locked,battery_c
158,159.17,1,true,32.20
159,166.93,1,true,32.20
160,161.96,1,true,32.20
161,162.18,1,true,32.20
162,166.81,1,true,32.20
163,171.51,1,true,32.20
164,163.49,1,true,32.20
165,165.74,1,true,32.20
166,157.03,1,true,32.20
167,156.43,1,true,32.20
168,162.40,1,true,32.20
169,152.22,1,true,32.20
170,163.27,1,true,32.20
171,163.90,1,true,32.20
172,169.02,1,true,32.20
173,169.34,1,true,32.20
174,168.14,1,true,32.20
175,167.91,1,true,32.20
176,164.58,1,true,32.20
177,161.82,1,true,32.20
178,158.98,1,true,32.20
179,163.83,1,true,32.20
180,162.77,1,true,32.20
181,176.58,1,true,32.20
182,162.83,1,true,32.20
183,158.18,1,true,32.20
184,162.22,1,true,32.20
185,142.79,1,true,32.20
186,159.38,1,true,32.20
187,163.02,1,true,32.20
188,166.43,1,true,32.20
189,167.57,1,true,32.20
190,165.33,1,true,32.20
191,162.95,1,true,32.20
192,165.84,1,true,32.20
193,162.28,1,true,32.20
194,166.90,1,true,32.20
195,164.94,1,true,32.20
196,162.88,1,true,32.20
197,161.58,1,true,32.20
198,163.44,1,true,32.20
199,158.91,1,true,32.20
200,160.17,1,true,32.20
201,167.76,1,true,32.20
202,160.12,1,true,32.20
203,158.64,1,true,32.20
204,158.29,1,true,32.20
205,166.71,1,true,32.20
206,171.48,1,true,32.20
207,165.85,1,true,32.20
208,158.33,1,true,32.20
209,173.52,1,true,32.20
210,165.80,1,true,32.20
211,170.66,1,true,32.20
212,169.49,1,true,32.20
213,169.76,1,true,32.20
214,153.48,1,true,32.20
215,153.39,1,true,32.20
216,160.78,1,true,32.20
217,170.77,1,true,32.20
218,167.58,1,true,32.20
219,167.50,1,true,32.20
220,163.42,1,true,32.20
221,164.21,1,true,32.20
222,165.57,1,true,32.20
223,164.41,1,true,32.20
224,166.03,1,true,32.20
225,168.71,1,true,32.20
226,163.39,1,true,32.20
227,168.62,1,true,32.20
228,161.98,1,true,32.70
229,169.42,1,true,32.70
230,161.55,1,true,32.70
231,166.03,1,true,32.70
232,164.54,1,true,32.70
233,169.64,1,true,32.70
234,154.17,1,true,32.70
235,163.22,1,true,32.70
236,164.57,1,true,32.70
237,156.85,1,true,32.70
238,148.63,1,true,32.70
239,168.14,1,true,32.70
240,165.75,1,true,32.70
241,169.33,1,true,32.70
242,165.69,1,true,32.70
243,165.24,1,true,32.70
244,169.44,1,true,32.70
245,163.85,1,true,32.70
246,158.24,1,true,32.70
247,153.90,1,true,32.70
248,156.24,1,true,32.70
249,174.10,1,true,32.70
250,160.61,1,true,32.70
251,167.76,1,true,32.70
252,147.00,1,true,32.70
253,143.63,1,true,32.70
254,160.43,1,true,32.70
255,158.64,1,true,32.70
256,158.91,1,true,32.70
257,164.01,1,true,32.70
258,144.59,1,true,32.70
259,160.85,1,true,32.70
260,163.61,1,true,32.70
261,152.79,1,true,32.70
262,156.47,1,true,32.70
263,161.16,1,true,32.70
264,139.02,1,true,32.70
265,154.09,1,true,32.70
266,157.44,1,true,32.70
267,160.85,1,true,32.70
268,158.98,1,true,32.70
269,161.89,1,true,32.70
270,153.66,1,true,32.70
271,144.45,1,true,32.70
272,164.14,1,true,32.70
273,167.00,1,true,32.70
274,163.32,1,true,32.70
275,160.15,1,true,32.70
276,158.66,1,true,32.70
277,158.48,1,true,32.70
278,170.05,1,true,32.70
279,153.42,1,true,32.70
280,160.11,1,true,32.70
281,163.39,1,true,32.70
282,149.34,1,true,32.70
283,161.27,1,true,32.70
284,147.34,1,true,32.70
285,155.50,1,true,32.70
286,155.69,1,true,32.70
287,155.75,1,true,32.70
288,140.24,1,true,32.70
289,148.68,1,true,32.70
290,158.79,1,true,32.70
291,145.17,1,true,32.70
292,160.95,1,true,32.70
293,150.49,1,true,32.70
294,159.19,1,true,32.70
295,155.21,1,true,32.70
296,161.40,1,true,32.70
297,171.45,1,true,32.70
298,156.60,1,true,32.70
299,165.41,1,true,32.70
300,168.66,1,true,32.70
301,156.34,1,true,32.70
302,165.33,1,true,32.70
303,149.22,1,true,32.70
304,154.26,1,true,32.70
305,153.92,1,true,32.70
306,157.14,1,true,32.70
307,159.36,1,true,32.70
308,159.48,1,true,32.70
309,152.39,1,true,32.70
310,164.59,1,true,32.70
311,154.06,1,true,32.70
312,144.54,1,true,32.70
313,153.88,1,true,32.70
314,148.07,1,true,32.70
315,150.16,1,true,32.70
316,157.66,1,true,32.70
317,158.98,1,true,32.70
318,162.91,1,true,32.70
319,151.81,1,true,32.70
320,153.77,1,true,32.70
321,170.43,1,true,32.70
322,163.11,1,true,32.70
323,159.36,1,true,32.70
324,153.80,1,true,32.70
325,154.88,1,true,32.70
326,164.97,1,true,32.70
327,162.37,1,true,32.70
328,160.64,1,true,32.70
329,155.25,1,true,32.70
330,153.37,1,true,32.70
331,152.48,1,true,32.70
332,153.01,1,true,32.70
333,146.39,1,true,32.70
334,154.86,1,true,32.70
335,152.23,1,true,32.70
336,152.43,1,true,32.70
337,156.14,1,true,32.70
338,149.83,1,true,32.70
339,158.40,1,true,32.70
340,163.57,1,true,32.70
341,162.50,1,true,32.70
342,150.94,1,true,32.70
343,142.19,1,true,32.70
344,158.08,1,true,32.70
345,165.35,1,true,32.70
346,161.24,1,true,32.70
347,165.80,1,true,32.70
348,150.52,1,true,32.70
349,158.81,1,true,32.70
350,167.07,1,true,32.70
351,159.37,1,true,32.70
352,159.02,1,true,32.70
353,157.80,1,true,32.70
354,158.28,1,true,32.70
355,159.94,1,true,32.70
356,152.77,1,true,32.70
357,163.63,1,true,32.70
358,157.92,1,true,32.70
359,159.11,1,true,32.70
360,162.62,1,true,32.70
361,157.87,1,true,32.70
362,158.33,1,true,32.70
363,156.64,1,true,32.70
364,149.33,1,true,32.70
365,135.05,1,true,32.70
366,163.19,1,true,32.70
367,152.30,1,true,32.70
368,162.67,1,true,32.70
369,153.58,1,true,32.70
370,159.14,1,true,32.70
371,162.73,1,true,32.70
372,155.26,1,true,32.70
373,162.86,1,true,32.70
374,164.85,1,true,32.70
375,168.09,1,true,32.70
376,152.62,1,true,32.70
377,168.94,1,true,32.70
378,167.10,1,true,32.70
379,163.70,1,true,32.70
380,154.85,1,true,32.70
381,167.91,1,true,32.70
382,156.27,1,true,32.70
383,162.61,1,true,32.70
384,149.20,1,true,32.70
385,164.23,1,true,32.70
386,155.79,1,true,32.70
387,156.82,1,true,32.70
388,148.18,1,true,32.70
389,156.23,1,true,32.70
390,157.60,1,true,32.70
391,143.81,1,true,32.70
392,154.75,1,true,32.70
393,170.48,1,true,32.70
394,156.16,1,true,32.70
395,150.64,1,true,32.70
396,161.44,1,true,32.70
397,154.86,1,true,32.70
398,170.07,1,true,32.70
399,153.32,1,true,32.70
400,153.16,1,true,32.70
401,159.56,1,true,32.70
402,158.27,1,true,32.70
403,157.60,1,true,32.70
404,154.75,1,true,32.70
405,160.73,1,true,32.70
406,157.35,1,true,32.70
407,157.64,1,true,32.70
